# SNAP pixel extraction export table																																																																												
#																																																																												
# Window size: 1																																																																												
# Created on:	04.08.2021 14:38																																																																											
																																																																												
# Wavelength:	 	 	 	 	 	 	 	 	443	490	560	665	705	740	783	842	865	945	1610	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProdID	CoordID	Name	Latitude	Longitude	PixelX	PixelY	Date(yyyy-MM-dd)	Class	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	scl_nodata	scl_saturated_defective	scl_dark_feature_shadow	scl_cloud_shadow	scl_vegetation	scl_not_vegetated	scl_water	scl_unclassified	scl_cloud_medium_proba	scl_cloud_high_proba	scl_thin_cirrus	scl_snow_ice	agri	bare	cloud	forest	rocks	snow	water	water_2	pins
2	22	pin_22	45.408182	10.613583	1833.5	3474.5	27.06.2021	NonForestVeget	0.053599998	0.0535	0.087099999	0.0638	0.140000001	0.361499995	0.440600008	0.454400003	0.476700008	0.436699986	0.275400013	0.148800001	0.224000007	2.584000111			4	6.950703621	116.0002975	25.48730087	144.9570007	7.06125021	120.1279984	6.825809956	109.9380035	6.859660149	112.2870026	6.900670052	114.4179993	6.927159786	115.5759964	6.955949783	116.7080002	6.987870216	117.8450012	6.841310024	111.1149979	7.02200985	118.9570007	7.10187006	121.2470016	6.889649868	113.8919983	6.953320026	116.6090012	7.032619953	119.2839966	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	24	pin_24	45.427098	10.650312	2033.5	3371.5	27.06.2021	NonForestVeget	0.039099999	0.055300001	0.092900001	0.078000002	0.150800005	0.351799995	0.415399998	0.425099999	0.450899988	0.454299986	0.279599994	0.154899999	0.226999998	2.70600009			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	25	pin_25	45.429852	10.64315	1994.5	3356.5	27.06.2021	NonForestVeget	0.052999999	0.068899997	0.100400001	0.108199999	0.171900004	0.300000012	0.356999993	0.374000013	0.4023	0.403100014	0.332399994	0.207499996	0.228	2.555999994			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	26	pin_26	45.436096	10.642232	1989.5	3322.5	27.06.2021	NonForestVeget	0.044799998	0.058699999	0.086599998	0.083099999	0.1373	0.266099989	0.308999985	0.315800011	0.335799992	0.343199998	0.299499989	0.185299993	0.228	2.555000067			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	27	pin_27	45.438116	10.644619	2002.5	3311.5	27.06.2021	NonForestVeget	0.0447	0.055399999	0.081299998	0.075900003	0.129800007	0.251899987	0.284200013	0.288500011	0.308600008	0.302399993	0.263099998	0.168300003	0.228	2.546000004			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	28	pin_28	45.437382	10.660229	2087.5	3315.5	27.06.2021	NonForestVeget	0.044199999	0.0612	0.093000002	0.090400003	0.150999993	0.283499986	0.336499989	0.348699987	0.378199995	0.376800001	0.304199994	0.179499999	0.228	2.536000013			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	29	pin_29	45.442157	10.66078	2090.5	3289.5	27.06.2021	NonForestVeget	0.060600001	0.068999998	0.105099998	0.104599997	0.178499997	0.328999996	0.3838	0.394300014	0.420599997	0.403899997	0.336699992	0.2148	0.228	2.696000099			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	30	pin_30	45.448401	10.66078	2090.5	3255.5	27.06.2021	NonForestVeget	0.050000001	0.065499999	0.102499999	0.101000004	0.164700001	0.30430001	0.354699999	0.361200005	0.383300006	0.38530001	0.330599993	0.209299996	0.228	2.540999889			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	31	pin_31	45.448952	10.625887	1900.5	3252.5	27.06.2021	NonForestVeget	0.0502	0.064199999	0.094800003	0.089100003	0.160899997	0.305500001	0.359899998	0.382699996	0.418099999	0.416299999	0.351000011	0.200200006	0.228	2.5			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	32	pin_32	45.452441	10.62405	1890.5	3233.5	27.06.2021	NonForestVeget	0.045400001	0.062799998	0.0933	0.091499999	0.148499995	0.251300007	0.281399995	0.287900001	0.305200011	0.322699994	0.268700004	0.177900001	0.228	2.476999998			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	33	pin_33	45.452074	10.631029	1928.5	3235.5	27.06.2021	NonForestVeget	0.045400001	0.0594	0.091399997	0.085100003	0.148900002	0.300599992	0.358900011	0.372099996	0.393099993	0.407200009	0.291299999	0.167300001	0.228	2.526000023			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	34	pin_34	45.451155	10.64517	2005.5	3240.5	27.06.2021	NonForestVeget	0.047899999	0.061299998	0.101199999	0.085699998	0.166600004	0.376300007	0.448100001	0.460599989	0.479699999	0.480199993	0.31400001	0.172999993	0.228	2.585999966			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	35	pin_35	45.439953	10.61395	1835.5	3301.5	27.06.2021	NonForestVeget	0.049800001	0.059700001	0.094300002	0.093900003	0.160300002	0.2949	0.351399988	0.366100013	0.393900007	0.397500008	0.310799986	0.183400005	0.228	2.551000118			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
